aaronita a.a.4o"ni.ta
bodorrio bo"Do.rjo
bodrio "bo.d4io
bofe "bo.fe
bofetada bo.fe"ta.Da
bogar bo."M\a4
bogotano bo.Go"ta.no
bohemia bo."e.mja
bohemio bo."e.mjo
bohemo bo"e.mo
boicot boj"kot
boina "boj.na
boj "box
bola "bo.la
bolacero bo.la"se.4o
bolardo bo"la4.Do
bolchevique bol.tSe"Bi.ke
boldo "bol.do
boleta bo"le.ta
boli "bo.li
boliche bo"li.tSe
bolillero bo.li"ʎe.4o
bolivianismo bo.li.Bja"nis.mo
bollera bo"ʎe.4a
bolonio bo"lo.njo
bolsillo bol"si.j\o
bolso "bol.so
bomba "bom.ba
bombarda bom"ba4.Da
bombardeo bom.ba4"De.o
bombero bom"be.4o
bombo "bom.bo
bonaerense bo.na.e"4en.se
bondad bon."daD
boneta bo"ne.ta
bonete bo."ne.te
bonetero bo.ne"te.4o
boniato bo"nja.to
bonificar bo.ni.fi"ka4
bono "bo.no
bonzo "bon.so
boquete bo"ke.te
boquetero bo.ke"te.4o
boqui "bo.ki
boquirrubio bo.ki"ru.Bjo
boquisucio bo.ki"su.sjo
borbor bo4"Bo4
bordada bo4"Da.Da
bordador bo4.Da"Do4
bordadura bo4.Da"Du.4a
bordar bo4"Da4
bordear bo4.De"a4
bordillo bo4"Di.j\o
bordiona bo4"Djo.na
bordo "bo4.Do
bordoncillo bo4.Don"si.ʎo
bordonear bo4.Do.ne"a4
bordonero bo4.Do"ne.4o
bordura bo4"Du.4a
boricua bo"4i.kwa
borondanga bo.4on.daN"ga
borrachera bo.ra."tSe.4a
borracho bo"ra.tSo
borrado bo"ra.Do
borrador bo.ra"Do4
borraj bo"rax
borrar bo"ra4
borrasca bo"ras.ka
borrasquero bo.ras"ke.4o
borrego bo"re.γo
borrico bo"ri.ko
borujo Bo"4u.xo
boscaje bos"ka.xe
boscoso bos"ko.so
bosnio "bos.nio
bosque "bos.ke
bosquete bos"ke.te
bosta "bos.ta
bostezar bos.te."sa4
bostezo bos"te.so
botar bo"ta4
botica bo"ti.ka
boticaje bo.ti"ka.xe
boticario bo.ti"ka.4jo
bovino bo."Bi.no
boxeador bok.se.a"Do4
boxear bok.se"a4
boxeo bok"se.o
boyardo bo"j\a4.do
boyero bo"j\e.4o
bozo "bo.so
braceada b4a.se"a.Da
braceador b4a.se.a"Do4
braceral b4a.se"4al
bracero b4a"se.4o
bracete b4a"se.te
bracil b4a"sil
bradicardia %b4a.Di."ka4.Dja
bradita b4a"Di.ta
bragado b4a"M\a.Do
brahmanismo %b4a.ma."nis.mo
bramar b4a"ma4
bramido b4a"mi.Do
branque "b4aN.ke
bravo "b4a.Bo
braza "b4a.sa
brazada b4a"sa.Da
brazado b4a"sa.Do
brazal b4a"sal
brazo "b4a.so
brazola b4a"so.la
breca "b4e.ka
brecha "b4e.tSa
bregar b4e"M\a4
breva "b4e.Ba
breve "b4e.Be
brevedad b4e.Be"DaD
brevete b4e"Be.te
breviario b4e"Bja.4jo
brevipenne %b4e.Bi"pen.ne
brezar b4e"sa4
briba "b4i.Ba
brida "b4i.Da
brigada b4i"M\a.Da
brigantina b4i"M\an.ti.na
brigantino b4i.Gan_d"ti.nos
brillante b4i"ʎan.te
brillantemente b4i.ʎan.te"men.te
brin "b4in
brincar b4iN"ka4
brinco "b4iN.ko
brindador b4in_d.da"Do4
brindar b4in_d"da4
brindis "b4in_d.dis
briol b4i"ol
briosamente "b4jo.sa"men_d.te
brioso b4i"o.so
brisa "b4i.sa
brisote b4i"so.te
britano b4i"ta.no
brizar bri."sa4
broa "b4o.a
brocal b4o"kal
brocearse b4o.se"a4.se
broche "B4o.tSe
bromar b4o"ma4
bromear b4o.me"a4
bronca "b4oN.ka
broncear b4on.se"a4
bronquial b4oN"kjal
bronquio "b4on.kjo
bronquiolo b4on."kjo.lo
bronquitis b4on"ki.tis
brotar b4o"ta4
brote "b4o.te
bruces "b4u.ses
brujidor b4u.xi"Do4
brujir bru"xi4
brujo "b4u.xo
brujulear b4u.xu.le"a4
brusquedad b4us.ke"DaD
bruta "b4u.ta
brutal b4u"tal
brutalmente bru"tal"men_d.te
bruto "b4u.to
bruzador b4u.sa"Do4
bucanero bu.ka"ne.4o
buceador bu.sea."Do4
bucle bu.kle
budismo bu"Dis.mo
buen "bwen
buenaventura bwe.na.Ben"tu.4a
bueno "bwe.no
bufanda bu"fan.da
bufar bu"fa4
bufido bu"fi.Do
buitre "bwi.t4e
bula "bu.la
bular bu"la4
bulevar bu.le"Ba4
bulimia bu"li.mja
bulldozer bul"do.se4
bulliciosamente bu.ʎi"sjo.sa"men_d.te
bullicioso bu.ʎi"sjo.so
bulto "bul.to
bungalow buN.ga"low
buque "bu.ke
burbuja bu4"bu.xa
burbujear bu4.Bu.xe"a4
burdel bu4"Del
burdelesco bu4.De"les.ko
burdo "bu4.Do
burel bu"4el
burgrave bu4."g4a.Be
burgraviato bu4.g4a"Bja.to
buriel bu"4jel
burla "bu4.la
burlar bu4"la4
burocracia bu.4o"k4a.sja
burocratizar bu.4o.k4a.ti."sa4
burrada bu"ra.Da
burrito bu"ri.to
burro "bu.ro
burujo Bu"4u.xo
bus "bus
buscador bus.ka"Do4
buscamiento bus.ka"mjen.to
buscaniguas bus.ka"ni.Gwas
buscapersonas %bus.ka.pe4"so.nas
buscapique bus.ka"pi.ke
buscapleitos bus.ka"plej.tos
buscar bus"ka4
buscarruidos bus.ka"rwi.Dos
buscavida bus.ka"Bi.Da
buseta bu"se.ta
busilis bu"si.lis
buso "bu.so
busto "bus.to
buz "bus
buzar bu."sar
cabalgar ka"Bal.ga4
cabalista ka.Ba"lis.ta
caballar ka.Ba."ʎu.no
caballerato ka.Ba.ʎe."4a.to
caballerear ka.Ba.ʎe.4e."a4
caballerete ka.Ba.ʎe."4e.te
caballerosamente ka.Ba.ʎe.%4o.sa."men.te
caballerosidad ka.Ba.ʎe.4o.si."DaD
caballeroso ka.Ba.ʎe"4o.so
caballerote ka.Ba.ʎe."4o.te
cabanga ka."BaN.ga
cabecear ka.Be.se"a4
cabecero ka.Be"se.4o
cabeciduro ka.Be.si"Du.4o
cabellera ka.Be"ʎe.4a
caber ka"Be4
cabestro ka"Bes.t4o
cabeza ka"Be.sa
cabezada ka.be"sa.Da
cabezaje ka.Be"sa.xe
cabezazo ka.Be"sa.so
cabezo ka"Be.so
cabila ka"Bi.la
cabildante ka.Bil"dan_d.te
cabildo ka"Bil.do
cabizbajo %ka.Bis"Ba.xo
cablear ka.ble"a4
cablegrafiar ka.Ble.G4a"fja4
cablegrama ka.ble"g4a.ma
cablero ka."Ble.4o
cabo "ka.Bo
cabotaje ka.Bo"ta.xe
caboverdiano %ka.Bo.Be4"Dja.no
cabrear ka.B4e"a4
cabreo ka"B4e.o
cabrero ka"B4e.4o
cabrestante ka.B4es"tan.te
cabria "ka.B4ja
cabrina ka"B4i.na
cabriola ka."B4jo.la
cabrito ka"B4i.to
cabro "ka.B4o
cabronada ka.B4o"na.Da
cabuya ka"Bu.j\a
caca "ka.ka
cacahuate ka.ka"wa.te
cacahuete ka.ka"we.te
cacao ka"ka.o
cacarear ka.ka.4e."a4
cacareo ka.ka."4e.o
cacerola ka.se"4o.la
cacha "ka.tSa
cachaciento ka.ʧa"sjen.t
cachafaz ka.tSa"fas
cachalote ka.t`Sa"lo.te
cacharro ka"tSa.ro
cachear ka.tSe"a4
cachetada ka.t`Se"ta.Da
cachimba ka"tSim.ba
cachimbo ka"tSim.bo
cachirulo ka.t͡Si"4u.lo
cachucha ka"tSu.tSa
cachudo ka."tSu.Do
cachurear %ka.tSu.4e."a4
cachureo ka.tSu."4e.o
cacique ka"si.ke
cacle "kak.le
caco "ka.ko
cacorro ka"ko.ro
cadalso ka"Dal.so
cadaverina ka.Da.Be"4i.na
cadena ka"De.na
cadera ka"De.4a
cadete ka"De.te
caducar ka.Du"ka4
caducifolio ka.Du.si"fol.jo
cafetera ka.fe"te.4a
cafeto ka."fe.to
cafre "ka.f4e
cagar ka"M\a4
cagatintas ka.Ga"tin_d.tas
caigua "kaj.M\wa
cairelar kaj.4e"la4
caite "kaj.te
cajera ka"xe.4a
cajero ka"xe.4o
cajeta ka."xe.ta
cal "kal
calabaza ka.la"Ba.sa
calabazate ka.la.Ba"sa.te
calabobos ka.la"Bo.Bos
calabozaje ka.la.Bo"sa.xe
calabrotar ka.la.B4o"ta4
calabrote ka.la"B4o.te
caladero ka.la"De.4o.
calafatear ka.la.fa.te"a4
calamar ka.la"ma4
calambur ka.lam"bu4
calamidad ka.la.mi."DaD
calamina ka.la"mi.na
calamitosamente ka.la.mi"to.sa"men_d.te
calamorro ka.la"mo.ro
calar ka"la4
calato ka"la.to
calatravo ka.la."t4a.Bo
calcar kal"ka4
calceta kal"se.ta
calcificar kal._0si.fi"ka4
calcio "kal.sjo
calco "kal.ko
calcografiar kal.ko.G4a"fja4
calcular kal.ku"la4
calda "kal.da
caldense kal"den.se
caldera kal."de.4a
calderada kal.de."4a.Da
calderero kal.de."4e.4o
caldereta kal.de."4e.ta
calderilla kal.de."4i.ʎa
caldero kal."de.4o
caldo "kal.Do
calefactor ka.le.fak"to4
calendario ka.len_d"da.4jo
calentador ka.len.ta"Do4
calentamiento ka.len.ta"mjen.to
calentito ka.len"ti.to
calesita ka.le"si.ta
caleta ka"le.ta
calicanto ka.li"kan.to
caliciforme kal.si"fo4.me
calidad ka.li"DaD
caliente ka"ljen_d.te
califa ka"li.fa
califato ka.li"fa.to
calificar ka.li.fi"ka4
calificativo ka.li.fi.ka"ti.Bo
californio ka.li"fo4.njo
caligrafiar ka.li.G4a"fja4
caligrama ka.li."g4a.ma
calimba ka"lim.ba
calimocho ka.li"mo.tSo
calina ka."li.na
calinoso ka.li"no.so
callejuela ka.j\e"xwe.la
calma "kal.ma
calmar kal"ma4
calofriarse ka.lo"f4ja4.se
calor ka"lo4
calorosamente ka.lo"4o.sa"men.te
calosfriarse ka.los"f4ja4.se
calumnia ka"lum.nja
calumniosamente ka.lum"njo.sa"men.t_de
calurosamente ka.lu"4o.sa"me n_d.te
calvero kal"Be.4o
calvinismo kal.Bi"nis.mo
calvinista kal.Bi"nis.ta
camada ka."ma.Da
camal ka"mal
camaldulense ka.mal.Du"len.se
camalotal ka.ma.lo"tal
camanchaca ka.man"tSa.ka
camandulear ka.man_d.du.le"a4
camandulense ka.man_d.du"len.se
camandulero ka.man_d.du"le.4o
camanonca ka.ma"non.ka
camarada ka.ma"4a.Da
camaraje ka.ma"4a.xe
camarero ka.ma"4e.4o
camarico ka.ma"4i.ko
camarista ka.ma"4is.ta
camarlengo ka.ma4"leN.go
camaronear ka.ma.4o.ne"a4
camaronero ka.ma.4o"ne.4o
camba "kam.ba
cambalache kam.ba"la.tSe
cambalachero kam.ba.la"tSe.4o
cambalud kam.ba."luD
cambar kam"ba4
cambera kam"be.ra
cambiadizo kam.bja"Di.so
cambiante kam"bjan_d.te
cambista kaF"bis.ta
camboyano kam.bo."j\a.no
cambronal kam.B4o"nal
cambronera kam.B4o"ne.4a
cambuj kam"bux
cambur kam"bu4
camedrio ka"me.D4jo
camelar ka.me"la4
camembert "ka.mem.be4t
camena ka"me.na
camiar ka."mja4
camilla ka"mi.ʎa
caminante ka.mi"nan_d.te
caminar ka.mi."na4
caminata ka.mi."na.ta
camino ka"mi.no
camioneta ka.mjo."ne.ta
camisa ka"mi.sa
camita ka"mi.ta
camote ka"mo.te
campana kam"pa.na
campanario kam.pa"na.4jo
campaniforme kam.pa.ni"fo4.me
campar kam"pa4
campeador kam.pea"Do4
campear kam.pe"a4
campechana kam.pe"tSa.na
campechano kam.pe"tSa.no
campeonato kam.pe.o"na.to
campera kam"pe.4a
campesino kam.pe."si.no
campestre kam"pes.t4e
campo "kam.po
can kaN
canadiense ka.na"Djen.se
canal ka"nal
canaleta ka.na."le.ta
canalete ka.na."le.te
canalizar ka.na.li"sa4
canana ka"na.na
canario ka "na rjo
canasta ka"nas.ta
canchal kaJ"tSal
canchalagua kan.tSa"la.M\wa
cancho "kaJ.tSo
candidatura kan.di.Da"tu.4a
candidez kan.di"Des
candidiasis kan_d.di"Dja.sis
candombe kan"dom.be
canela ka."ne.la
caney ka"nej
cangalla kaN"ga.ʎa
cangreja kaN"g4e.xa
canguro kaN."gu.4o
canibalismo ka.Ni.Ba"lis.mo
canica ka"ni.ka
canina ka"ni.na
caninamente ka"ni.na"men_d.te
caninero ka.ni"ne.4o
caninez ka.ni"nes
canino ka."ni.no
canistro ka"nis.t4o
canje "kan.xe
canjear kaN.xe"a4
canmiar kan"mja4
cano "ka.no
canoa ka"no.a
canon "ka.non
canonesa ka.no"ne.sa
canonical ka.no.ni"kal
canonicato ka.no.ni"ka.to
canoso ka"no.so
cansadamente kan.%sa.Da."men.te
cansancio kan."san.sjo
cansar kan."sa4
cansera kan."se.4a
cansino kan."si.no
canta "kan.ta
cantaleta kan_d.ta"le.ta
cantaletear kan_d.ta.le.te"a4
cantante kan_d"tan_d.te
cantarela kan_d.ta"4e.la
cantautor kan_d.taw"to4
cantimplora kan.tim"plo.4a
cantitativo kan.ti.ta"ti.Bo
cantizal kan_d.ti"sal
cantonear kan_d.to.ne"a4
caoba ka"o.Ba
caos "ka.os
capacete ka.pa"se.te
capacha ka"pa.tSa
capacidad ka.pa.si"DaD
capanga ka"paN.ga
capaz ka"pas
capelina ka.pe"li.na
caperol ka.pe"4ol
capibara ka.pi"Ba.4a
capilar ka.pí."la4
capilaridad ca.pi.la.4i"DaD
capital ka.pi."tal
capitalismo ka.pi.ta."lis.mo
capitel ka.pi."tel
capitolio ka.pi"to.ljo
capnomancia kap.no"man.sja
capo "ka.po
capolar ka.po.la4
caporal ka.po."4al
capote ka"po.te
captor kap."to4
captura kap."tu.4a
capturar kap.tu"rar
capucha ka"pu.tSa
capullo kapuʎo
caquetense ka.ke"ten.se
caquexia ka"kek.sja
car ka4
caraba ka."4a.ba
carabela ka.4a"Be.la
carabina ka.4a"Bi.na
carabinero %ka.4a.Bi"ne.4o
caracol ka.4a'kol
caracterizar ka.4ak.te.4i"sa4
caraja ka"4a.xa
carajo ka"4a.xo
caramba ka"4am.ba
carambanado ka.4am.ba"na.Do
carambolear ka.4am.bo.le"a4
carambolero ka.4am.bo"le.4o
carambolo ka.4am"bo.lo
caramel ka.4a"mel
caramelizar ka.4a.me.li"sa4
caramelo ka.4a"me.lo
caramida ka.4a"mi.Da
caraos ka."4a.os
caravana ka.4a"Ba.na
caravanero ka.4a.Ba"ne.4o
caray ka"4aj
carbonada ka4.Bo"na.Da
carbonar ka4.Bo"na4
carbonatar ka4.Bo.na"ta4
carbonear ka4.Bo.ne"a4
carbonero ka4.Bo"ne.4o
carbonizar ka4.Bo.ni."sa4
carbono ka4"Bo.no
carbunclo ka4"BuN.klo
carbunco ka4"buN.ko
carburar ka4.Bu"4a4
carca _>ka4ka
carcaj ka4"kax
carcajear ka4.ka.xe"a4
carcasa ka4"ka.sa
carcavear ka4.ka.Be"a4
carcinoma ka4.si."no.ma
carcomer ka4.ko"me4
carcunda ka4_>kun_d.da
carda "ka4.Da
cardal ka4"Dal
cardar ka4"Da4
cardiaca ka4"Dja.ka
cardiaco ka4"Dja.ko
cardias "ka4.Djas
cardinal ka4.Di"nal
cardiovascular %ka4.Djo.Bas.ku."la4
cardumen ka4"Du.men
carduzar ka4.Du"sa4
carecer ka.4e"se4
carena ka"4e.na
carenadura ka.4e.na."Du.4a
carenar ka.4e."na4
carencia ka."4en.sja
carenero ka.4e."ne.4o
carente ka"4en_d.te
carey ka"4ej
cargado ka4"M\a.Do
cargador ka4.M\a"Do4
cargamento ka4.M\a"men.to
cargar ka4"Ga4
cargosear ka4.M\o.se"a4
carguero kar."ge.4o
cariar ka"4ja4
caricatura ka.4i.ka"tu.4a
caricaturar ka.4i.ka.tu"4a4
caricaturesco ka.4i%ka.tu"4es.ko
caricaturizar %ka.4i.ka.tu.4i"sa4
caricia ka"4i.sja
caridad ka.4i"DaD
caries "ka.4jes
carioca ka"4jo.ka
cariocinesis %ka.4jo.si."ne.sis
carisma ka"4is.ma
carlinga kar"liN.ga
carminativo ka4.mi.na"ti.Bo
carnaval ka4.na"Bal
carnavalito ka4.na.Ba."li.to
carne "ka4.ne
carnerero ka4.ne."4e.4o
carnero ka4"ne.4o
carnestolendas ka4.%nes.to."len.das
carnoso ka4"no.so
caro "ka.4o
caroca ka"4o.ka
caromomia ka.4o"mo.mja
carpanta ka4"pan.ta
carpeta ka4."pe.ta
carpintero ka4.pin."te.4o
carpo "ka4.po
carranca ka"raN.ka
carrera ka"re.4a
carrerista ka.re."4is.ta
carreta ka."re.ta
carrete ka."re.te
carretela ka.re."te.la
carretera ka.re"te.4a
carrizo ka"ri.so
carro "ka.ro
carrusel ka.ru."sel
carta "ka4.ta
carterista ka4.te"4is.ta
cartero ka4"te.4o
cartesiano ka4.te"sja.no
carteta ka4"te.ta
cartivana ka4.ti"Ba.na
cartografiar ka4.to.G4a"fja4
cartomancia ka4.to"man.sja
cartucho ka4"tu.ʧo
cartujo ka4."tu.xo
cartulina ka4.tu."li.na
casabe ka"sa.Be
casaca ka"sa.ka
casadero ka.sa"De.4o
casal ka"sal
casalero ka.sa"le.4o
casalicio ka.sa"li.sjo
casamata ka.sa"ma.ta
casamentero ka.sa.men"te.4o
casamiento ka.sa"mjen.to
casamuro ka.sa"mu.4o
casar ka"sa4
cascabel kas.ka"Bel
cascajal kas.ka"xal
cascajar kas.ka"xa4
cascajo kas"ka.xo
cascajuelo kas.ka."xwe.lo.
cascar kas."ka4
cascarrabias %kas.ka"ra.Bjas
cascarria kas"ka.rja
cascatreguas %kas.ka"t4e.Gwas
casco "kas.ko
casi "ka.si
caso "ka.so
casona ka"so.na
caspa "kas.pa
casposo kas"po.so
casquijo kas"ki.xo
castellano kas.te."ʎa.no
casticismo kas.ti"sis.mo
castidad kas.ti."DaD
castigadamente kas.ti.M\a.Da"men.te
castigadera kas.ti.M\a"De.4a
castigar kas.ti"M\a4
casting "kas.tiN
casto käs.to_o
castor kas"to4
castorcillo kas.to4"si.j\o
castradera kas.t4a"De.4a
castrador kas.t4a"Do4
castradura kas.t4a"Du.4a
castrapuercos kas.t4a"pwe4.kos
castrar kas"t4a4
casualidad ka.swa.li"DaD
casualismo ka.swa."lis.mo
casuario ka."swa.4jo
casuista ka."swis.ta
casullero ka.su"ʎe.4o
cataclismo ka.ta."klis.mo
catafalco ka.ta"fal.ko
catalanismo ka.ta.la"nis.mo
catalejo ka.ta."le.xo
catalpa ka."tal.pa
catarro ka."ta.ro
catarsis ka."ta4.sis
catastrofista ka.tas.t4o"fis.ta
catatipia ka.ta"ti.pja
cataviento ka.ta"Bjen_d.to
catavino ka.ta"Bi.no
cateador ka.te.a"Do4
catecumenado ka.te.ku.me"na.Do
caterva ka"te4.Ba
catete ka"te.te
catimbao ka.tim"ba.o
catinga ka"tin.ga
catolicidad ka.to.li.si"DaD
catolicismo ka.to.li"sis.mo
catorce ka."to4.se
catre "ka.t4e
caucano kaw"ka.no
cauce "kaw.se
cauchal kaw"ʧal
causal kaw"sal
causalidad %kaw.sa.li"DaD
causar kaw."sa4
causear kaw.se"a4
cautela kaw."te.la
cauteloso kaw.te"lo.so
cautivar kaw.ti"Ba4
cautividad kaw.ti.Bi"DaD
cauto "kaw.to
cavar ka."Ba4
caverna ka"Be4.na
cavero ka"Be.4o
caveto  ka"Be.to 
cavial ka"Bjal
caviar ka"Bja4
cavicornio ka.Bi."kor.njo
cavidad ka.Bi"DaD
cavilar ka.Bi"la4
cavilosamente ka.Bi"lo.sa"men_d.te
cavilosidad ka.Bi.lo.si"DaD
caviloso ca.Bi"lo.so
cayo "ka.j\o
cayote ka"j\o.te
cayuco ka."j\u.ko
caz "kas
cazabe ka"sa.Be
cazadero ka.sa"De.4o
cazador ka.sa"Do4
cazo "ka.so
ce se
cebador se.Ba"Do4
cebar se"Ba4
cebolla se"Bo.ʎa
cebra "se.B4a
cebrado se"B4a.Do
cebruno se"B4uno
cebuano se.Bu"a.no
cecear se.se"a4
ceceo se"se.o
cecina se'si.na
cedazo se"Da.so
ceder se"De4
cedrino se"D4i.no
cedro "se.D4o
cedulaje se.Du"la.xe
cedular se.Du"la4
cedulario se.Du"la.4jo
cefalalgia se.fa."lal.gja
cefalea se.fa."le.a
cefalitis se.fa"li.tis
cefear se.fe"a4
cegajear se.Ga.xe"a4
ceguedad se.M\e"DaD
cejar se"xa4
cejilla se"xi.ʎa
celada se."la.Da
celadamente se"la.Da"men.te
celebrar se.le"b4a4
celebrero se.le"B4e.4o
celebridad se.le.Bri"DaD
celeridad se.le.4i"Das
celesta se"les.ta
celeste se"les.te
celestino se.les"ti.na
celibato se.li'Ba.to
cellisquear se.ʎis.ke"a4
celotipia se.lo"ti.pja
celular se.lu."la4
celulitis se.lu"li.tis
celuloide se.lu."loj.De
celulosa se.lu"lo.sa 
cementerio se.men"te.4io
cementero se.men"te.4o
cenagal se.na"Gal
cenit se"nit
cenobita se.no."Bi.ta
cenote se"no%te
censo "sen.so
censurar sen.su"4a4
centauro sen."taw.4o
centilitro %sen.ti."li.t4o
central sen."t4al
centralismo sen.t4a"lis.mo
centro sen_d.t4o
centroamericano %sen_d.t4o.a.me.4i"ka.no
centuplicar sen_d.tu.pli"ka4
centuria sen"tu.4ja
ceo "se.o
cepa "se.pa
cepillo se"pi.ʎo
cepo "se.po
cera "se.4a
cercandanza ser.kan_d"dan.sa
cercano se4"ka.no
cercar se4"ka4
cercenar se4.se."na4
cerciorar se4.sjo."4a4
cerda "se4.Da
cerdo se4.Do
cereal se.4e"al
cerebelo se.4e."Be.lo
cerebral se.4e."B4al
cerebro se."4e.B4o
ceremonia se.4e"mo.nja
cereza se"4e.sa
cernidillo se4ni."Di.ʎo
cero "se.4o
cerradura se.ra"Du.4a
cerrar se"ra4
cerrebojar se.re.Bo"xa4
cerril se"ril
certamen se4"ta.men
certero se4"te.4o
certificar se4.ti.fi"ka4
cervantesco se4.Ban_d"tes.ko
cesante se"san_d.te
cesar se"sa4
cesarismo se.sa"4is.mo
cesio "se.sjo
cespitoso ses.pi"to.so
cesta "ses.ta
cetrino se"t4i.no
cetro "se.t4o
ch "tSe
chabacano tSa.Ba.ka"no
chabola tSa"Bo.la
chacarero tSa.ka"4e.4o
chacha "ts\a.ts\a
chacota tSa"ko.ta
chacotear tSa.ko.te"a4
chacuaco tSa"kwa.ko
chafarote tSa.fa"4o.te
chaira "tSsaj.4a
chal "tSal
chala "tSa.la
chalado t͡Sa"la.Do
chalana tSa"la.na
chalar tSa."la4
chale "ʧa.le
chaleco tSa"le.ko
chalupa tSa."lu.pa
chamaco tSa"ma.ko
chamagoso tSa.ma"M\o.so
chamanto tSa"man.to
chambergo ʧam"be4.M\o
chambonada tSaF.bo"na.Da
chambonear tSaF.bo.ne"a4
chambrana tSam"b4a.na
champar tSam"pa4
champear tSam.pe"a4
champola tSam"po.la
champudo tSam"pu.Do
champuz tSam"pus
chamuchina tSa.mu"tSi.na
chamullar tSa.mu"j\a4
chamuscar ʧa.mus"ka4
chancaca tSaN."ka.ka
chancar tSaN."ka4
chancha "tSan.tSa
chanchada ʧan"ʧa.Da
chancho "tSaJ.tSo
chanchullo tSaJ."tSu.ʎo
chancla "tSaN.kla
chancleta ʧaN"kle.ta
chancro "tSan.k4o
changle "tSaN.gle
chango "tSaN.go
chantaje tSan"ta.xe
chanza "tSan.sa
chao "tSä.o
chapalear ʧa.pa.le"a4
chapar tSa"pa4
chapela tSa."pe.la
chapero ʧa"pe.4o
chapucero tSa.pu"se.4o
chapuzar tSa.pu."sa4
chaqueta tSa."ke.ta
chaqueteo tSa.ke"te.o
chaquetero tSa.ke."te.4o
charada tSa"4a.Da
charamusca ʧa.4a"mus.ka
charanga ʧa"4aN.M\a
charango tSa"4aN.go
charco "t`Sa4.ko
charlar tSa4"la4
charlear tSa4.le"a4
charlotear tSa4.lo.te"a4
charnego tSa4"ne.M\o
charnela t͡Sa4"ne.la
charol tSa"4ol
charquear tSa4.ke"a4
charqui "tSa4.ki
charrada ʧa"ra.Da
charral tSa"ral
charrar t͡Sa"ra4
charrasca tSa"ras.ka
charretera tSa.re"te.4a
charro "tSa.ro
chascarro tSas"kA.ro
chasis "tSa.sis
chaspar tSas"pa4
chaspear tSas.pe"a4
chasqui "tSas.ki
chatarra tSa."ta.ra
chatear tSa.te"ar
chato "tSa.to
chau "tSa.u
chaucha "tSaw.tSa
chauchera tSaw"tSe.4a
chaval tSa"Bal
chavea tSa"Be.a
chaveta ʧa"Be.ta
che tSe
checo "tSe.ko
checoslovaco tSe.kos.lo"Ba.ko
chef "ts\ef
chepa "tSe.pa
cheposo tSe."po.so
chepudo tSe"pu.Do
cheque "t͡Se.ke
chequear t͡Se.ke"a4
cherriar tSe"rja4
chiar tSja4
chibcha "tSiB.tSa
chic "tSik
chica "t∫i.ka
chicanear tSi.ka.ne"a4
chicano tSi."ka.no
chicharro t͡Si"t͡Sa.ro
chiche "tSi.tSe
chichero tSi"tSe.4o
chichilasa tSi.tSi"la.sa
chicle "tSi.kle
chico "tSi.ko
chicoco tSi"ko.ko
chicolear tSi.ko.le"a4
chicoria tSi"ko.4ja
chicotear tSi.ko.te"a4
chifladera tSi.fla."De.4a
chifladura tSi.fla."Du.4a
chiflato tSi."fla.to
chifle "tSi.fle
chiflete tSi."fle.te
chiflido tSi."fli.Do
chiflo "tSi.flo
chilaba tSi."la.ba
chilango tSi"laN.go
chilca "tSil.ka
chile "tSi.le
chilenismo ʧi.le"nis.mo
chileno tSi"le.no
chimango tSi"maN.go
chimar tSi."ma4
chimbo "ʧim.bo
chimenea tSi.me"ne.a
chinaco ʧi"na.ko
chincheta tSiJ."tSe.ta
chinchilla tSiJ."tSi.j\a
chinchorro tSiJ."tSo.ro
chinchoso ʧiJ"ʧo.so
chinchurria tSin"tSu.rja
chincol tSiN"kol
chinesco tSi"nes.ko
chingana tSiN"ga.na
chipe "tSi.pe
chipichape tSi.pi."tSa.pe
chipichipi tSi.pi.tSi.pi"
chiquear tSi.ke"a4
chiquero tSi"ke.4o
chiquito t͡Si"ki.to
chiribital tSi.4i.Bi"tal
chirigota tSi.4i"M\o.ta
chirimiri tSi.4i."mi.4i
chirimoyo tSi.4i."mo.j\ o
chiripa tSi"4i.pa
chiripazo tSi.4i"pa.so
chiripear tSi.4i.pe"a4
chirivisco tSi.4i"Bis.ko
chirlear tSi4.le"a4
chirrear tSi.re"a4
chirriar tSi"rja4
chirrido tSi"ri.Do
chirusa tSi"4u.sa
chiruza tSi"4u.sa
chisguete tSis"M\e.te
chisme "tSis.me
chispear tSis.pe."a4
chisporrotear tSis.po.ro.te"a4
chist "tSist
chistar tSis"ta4
chiste "tSis.te
chistera tSis"te.4a
chistorra tSis"to.ra
chistosamente tSis"to.sa"men.te
chistoso tSis"to.so
chistu ʧi.stu
chito "tSi.to
choapino tSo a "pi.no
chocar ʧo"ka4
chochear tSo.tSe"a4
chochera tSo"tSe.4a
chochez tSo"tSes
choclo "tSo.klo
choco "tSo.ko
chocoano tSo"kwa.no
chocolate tSo.ko"la.te
chocolatero tSo.ko.la"te.4o
chocolatina tSo.ko.la"ti.na
cholero tSo"le.4o
cholga "tSol.M\a
cholo "ʧo.lo
chomba "tSom.ba
chombo "tSom.bo
chompa "tSom.pa
chongo "tSoN.go
chopazo tSo"pa.so
chope "tSo.pe
chopera tSo"pe.4a
chorear tSo.4e"a4
choroy tSo."4oj
chota "tSo.ta
chotacabras tSo.ta"ka.B4as
chotar ʧo"ta4
chotear tSo.te"a4
chotis "tSo.tis
choto "ʧo.to
chovinismo tSo.Bi"nis.mo
chozno "tSos.no
chubasco tSu"Bas.ko
